Ranking,Username,Subscribers (Million),Uploads,Views,Country
1,MrBeast,336,838,66853633536,US
2,T-Series,281,22313,277242795553,IN
3,Cocoelon-NurseryRhyes,186,1370,194361752276,US
4,Youtubeovies,185,0,0,
5,SetIndia,180,148727,172709029653,IN
6,Vlad&Niki,129,796,99291499729,US
7,KidsDianaShow,128,1282,108987929584,US
8,LikeNastya,124,918,108128507997,US
9,Music,121,0,0,
10,ZeeusicCopany,112,12787,72091345721,IN
11,PewDiePie,110,4800,29453929047,JP
12,WWE,106,80964,90167179784,
13,StokesTwins,102,335,16139307959,US
14,Goldines,101,9421,29936365183,IN
15,SonySAB,97.7,94136,123172828384,IN
16,Blackpink,95.4,603,37502831600,KR
17,ChuChuTv,94.3,832,53265415943,IN
18,Gaing,92.9,0,0,
19,ZeeTV,86.2,190672,97566987807,IN
20,5-inuteCrafts,81.1,7391,27907581110,US
21,BANGTANTY,79.4,2674,24161704347,KR
22,BabyShark-PinkfongKidsSong,79.3,3399,47497893810,US
23,ColorsTV,77.6,179052,76490031656,IN
24,HYBELABELS,76.2,2253,37279267924,KR
25,Sports,74.7,0,0,
26,JustinBieber,74.4,249,33636731466,CA
27,KIPRO,73.3,3580,56715455039,KR
28,T-SeriesBhaktiSagar,72.6,29140,37185631965,IN
29,UR.Cristiano,71.7,80,721228815,PT
30,A4,71.5,971,31487602900,US
31,TipsOfficial,71,6859,43171245557,IN
32,ShearooFiliGaane,70.3,8988,30982452123,IN
33,AlanChikinChow,70,1413,48935762064,US
34,ZAZAELECTRONICTRADING,69.4,19224,34237265905,AE
35,AajTak,68.7,415087,35552274523,IN
36,Toys&Colors,68.3,1396,82391801354,US
37,CanalKondzilla,67.5,3014,38923694296,BR
38,ElReinoInfantil,67.1,1667,64042650819,AR
39,Infobells-Hindi,66.8,731,39661413683,IN
40,Waveusic,63.7,20481,43980109554,IN
41,Eineusic,63.4,196,32256297282,
42,HARPALGEO,62.9,152148,64184880416,PK
43,MovieClips,62.9,41711,64184220639,US
44,SonyusicIndia,62.9,5941,32518871280,IN
45,YRF,62.9,4333,44702357371,IN
46,KLBROBijuRithvik,62.8,2873,54385171265,IN
47,MarkRober,60.8,187,8956227211,US
48,DudePerfect,60.6,463,18005895732,US
49,TaylorSwift,60.4,285,37663171636,US
50,FedeVigevani,60,1435,17636583860,X
51,ARYDigitalHD,59.9,155545,59355707231,PK
52,LooLooKids,59.3,933,36603603223,US
53,BillionSurpriseToys,57.6,1221,10602947691,US
54,arshello,57.5,508,16389217605,US
55,YOLOAVENTURAS,56.5,2655,19763801820,X
56,Shearoo,56.3,13166,25669598984,IN
57,PANDABOL,55.9,1143,25243008251,IT
58,Alejolgoa,55.9,1158,20255686758,AR
59,EdSheeran,55.6,538,33424121267,GB
60,ArianaGrande,55.1,214,27575337685,US
61,shripraashant,53.9,11966,3237975581,IN
62,BillieEilish,53.9,142,17599708994,US
63,Getovies,53.6,3468,34460024944,RU
64,Mikecrack,53.4,2072,19542079629,ES
65,SonyusicIndiaVEVO,53.2,3688,33399550869,US
66,ashabearrussian,52.5,2009,43441258673,RU
67,JessNoLiit,52.5,2909,6989848318,ID
68,JuegaGeran,51.9,2264,16190511067,CL
69,TopperGuild,50.8,1070,21072416955,US
70,ABS-CBNEntertainent,50.8,234889,56273184883,PH
71,JiocineaKids,50.7,6907,24513826985,IN
72,StarPlus,50.4,111513,54503268938,IN
73,Saregaausic,50.1,9550,24191394571,IN
74,LUCCASNETO-LICCASTOON,50.1,3028,29698114509,BR
75,MashaandTheBear,50.1,1735,30139688172,US
76,BETERBOCUK,49.9,2915,28035715762,TR
77,Realfoolsshortsofficial,49.5,636,23650395482,IN
78,BadBunny,48.5,157,37198349778,PR
79,Fernanfloo,48.1,547,10725356823,SV
80,RicisOfficial,47.8,4792,8189252100,ID
81,Ishtarusic,47.6,4763,21233734157,IN
82,Badabun,47.6,24021,19894897196,X
83,shfa2,47.5,1857,30412148805,AE
84,MrBeast2,47.3,123,7045045458,US
85,Shakira,47.3,362,31911521616,CO
86,AnayaKandhal,47.1,1921,44774905876,IN
87,shfa,47.1,1193,27894173800,AE
88,FelipeNeto,46.9,5310,18221100236,BR
89,DushyantKukreja,46.7,1334,30036326973,IN
90,ISSEI,46.3,3201,34528796394,JP
91,ABPNEWS,46.3,433181,19680955314,IN
92,ariaClara&JP,46.2,916,30293144508,BR
93,AlanWalker,46.2,676,14996804659,NO
94,KiberlyLoaiza,46.1,314,6893064959,X
95,MrBeastGaming,46,141,8387527043,US
96,AlfredoLarin,46,1831,39518875780,SV
97,VoceSabia,46,1714,8180068059,BR
98,KatyPerry,45.6,170,27616850074,US
99,SpeedRecords,45.5,11880,30587436800,IN
100,Zhong,45.5,1861,17998163730,US